v,kappa,kappa_dot
0,0.193400,0.15
1,0.193400,0.15
2,0.193400,0.329200
3,0.193400,0.329200
4,0.193400,0.329200
5,0.193400,0.329200
6,0.193400,0.329200
7,0.193400,0.329200
8,0.193400,0.329200
9,0.193400,0.329200
10,0.193400,0.329200
11,0.193400,0.329200
12,0.193400,0.329200
13,0.193400,0.329200
14,0.193400,0.329200
15,0.172800,0.288000
16,0.151875,0.253125
17,0.134533,0.224221
18,0.120000,0.200000
19,0.107701,0.179501
20,0.097200,0.162000
21,0.088163,0.146939
22,0.080331,0.133884
23,0.073497,0.122495
24,0.067500,0.112500
25,0.062208,0.103680
26,0.057515,0.095858
27,0.053333,0.088889
28,0.049592,0.082653
29,0.046231,0.077051
30,0.043200,0.072000
31,0.040458,0.067430
32,0.037969,0.063281
33,0.035702,0.059504
34,0.033633,0.056055
35,0.031739,0.052898
36,0.030000,0.050000
37,0.028400,0.047334
38,0.026925,0.044875
39,0.025562,0.042604
40,0.024300,0.040500
41,0.023129,0.038548
42,0.022041,0.036735
43,0.021028,0.035046
44,0.020083,0.033471
45,0.019200,0.032000
46,0.018374,0.030624
47,0.017601,0.029335
48,0.016875,0.028125
49,0.016193,0.026989
50,0.015552,0.025920
51,0.014948,0.024913
52,0.014379,0.023964
53,0.013841,0.023069
54,0.013333,0.022222
55,0.012853,0.021421
56,0.012398,0.020663
57,0.011967,0.019945
58,0.011558,0.019263
59,0.011169,0.018615
60,0.010800,0.018000
61,0.010449,0.017415
62,0.010114,0.016857
63,0.009796,0.016327
64,0.009492,0.015820
65,0.009202,0.015337
66,0.008926,0.014876
67,0.008661,0.014435
68,0.008408,0.014014
69,0.008166,0.013611
70,0.007935,0.013224
71,0.007713,0.012855
72,0.007500,0.012500
73,0.007296,0.012160
74,0.007100,0.011833
75,0.006912,0.011520
76,0.006731,0.011219
77,0.006558,0.010929
78,0.006391,0.010651
79,0.006230,0.010383
80,0.006075,0.010125
81,0.005926,0.009877
82,0.005782,0.009637
83,0.005644,0.009406
84,0.005510,0.009184
85,0.005381,0.008969
86,0.005257,0.008761
87,0.005137,0.008561
88,0.005021,0.008368
89,0.004908,0.008181
90,0.004800,0.008000
91,0.004695,0.007825
92,0.004594,0.007656
93,0.004495,0.007492
94,0.004400,0.007334
95,0.004308,0.007180
96,0.004219,0.007031
97,0.004132,0.006887
98,0.004048,0.006747
99,0.003967,0.006612
100,0.003888,0.006480
101,0.003811,0.006352
102,0.003737,0.006228
103,0.003665,0.006108
104,0.003595,0.005991
105,0.003527,0.005878
106,0.003460,0.005767
107,0.003396,0.005660
108,0.003333,0.005556
109,0.003272,0.005454
110,0.003213,0.005355
111,0.003156,0.005259
112,0.003099,0.005166
113,0.003045,0.005075
114,0.002992,0.004986
115,0.002940,0.004900
116,0.002889,0.004816
117,0.002840,0.004734
118,0.002792,0.004654
119,0.002746,0.004576
120,0.002700,0.004500
121,0.002656,0.004426
122,0.002612,0.004354
123,0.002570,0.004283
124,0.002529,0.004214
125,0.002488,0.004147
126,0.002449,0.004082
127,0.002411,0.004018
128,0.002373,0.003955
129,0.002336,0.003894
130,0.002301,0.003834
